Company,Job_Title,Location,Seniority_level,Python,SQL,R,Excel,Tableau,Power_BI,Machine_Learning
Very,Lead Data Scientist - Canada,"Vancouver, British Columbia, Canada",Not Applicable,True,True,False,False,False,False,True
Taseko: Gibraltar Mine,"Engineer-In-Training, Data Science","Cariboo D, British Columbia, Canada",Entry level,True,False,True,True,False,False,True
Mila - Quebec Artificial Intelligence Institute,Scientifique de données,"Montreal, Quebec, Canada",Mid-Senior level,True,False,False,True,False,False,False
Advanced Upstream Ltd.,Applications Engineer,"Calgary, Alberta, Canada",Mid-Senior level,False,False,False,True,False,False,False
IQ Hunt Ltd.,Senior Data Scientist,"Mississauga, Ontario, Canada",Entry level,True,True,False,True,False,False,True
AbCellera,Research Scientist - Computational Structural Biology,"Vancouver, British Columbia, Canada",Mid-Senior level,True,False,False,True,False,False,True
Intuitive.Cloud,MLOps Engineer,"Toronto, Ontario, Canada",Contract,True,False,False,False,False,False,True
ZestyAI,Senior Data Scientist - Computer Vision and MLOps,"Toronto, Ontario, Canada",Mid-Senior level,False,True,False,False,False,False,True
Big Fish Games,Senior Data Scientist,"Montreal, Quebec, Canada",Mid-Senior level,True,True,False,False,True,False,True
Skylab Technologies Inc.,Senior Machine Learning / Computer Vision Research Scientist,"Vancouver, British Columbia, Canada",Full-time,True,False,False,False,False,False,True
ZestyAI,Senior Data Scientist - Computer Vision and MLOps,"Montreal, Quebec, Canada",Mid-Senior level,False,True,False,False,False,False,True
PRECISIONheor,Research Scientist,"Vancouver, British Columbia, Canada",Mid-Senior level,False,False,False,False,False,False,False
BrainStation,"Associate Educator, Data Scientist","Toronto, Ontario, Canada",Entry level,True,True,True,True,True,False,True
Braintrust,Python Engineer - Computer Vision / Neural Network - Freelance [Remote],"Montreal, Quebec, Canada",Entry level,True,False,False,False,False,False,False
ZestyAI,Senior Data Scientist - Computer Vision,"Calgary, Alberta, Canada",Mid-Senior level,False,True,False,False,False,False,True
CenterLine (Windsor) Limited,Computer Programmer/Analyst (Machine Learning Data Analyst),"LaSalle, Ontario, Canada",Mid-Senior level,False,False,False,False,False,False,True
SHIFT Energy,Senior Python Developer/Architect,"Toronto, Ontario, Canada",Mid-Senior level,True,False,False,False,False,False,False
Adecco,Now Hiring Statisticians!,"Ottawa, Ontario, Canada",Mid-Senior level,False,False,False,True,False,False,False
Adecco,Now Hiring Statisticians!,"Cantley, Quebec, Canada",Mid-Senior level,False,False,False,True,False,False,False
Adecco,Now Hiring Statisticians!,"Kemptville, Ontario, Canada",Mid-Senior level,False,False,False,True,False,False,False
WellnessLiving,React Developer,"Richmond Hill, Ontario, Canada",Entry level,False,False,False,True,False,False,False
IQ Hunt Ltd.,Detection Engineer,"Toronto, Ontario, Canada",Entry level,False,False,False,True,False,False,False
Vooban,Développeur Python,"Montreal, Quebec, Canada",Entry level,True,True,False,False,False,False,False
Specialisterne USA,Test Automation Engineer- Neurodiversity Hiring Initiative,"Ottawa, Ontario, Canada",Entry level,True,False,False,False,False,False,False
IQ Hunt Ltd.,Senior Data Scientist,"Mississauga, Ontario, Canada",Entry level,True,True,False,True,False,False,True
Diaryz,Junior App Developer,"Toronto, Ontario, Canada",Entry level,True,False,False,False,False,False,False
ZestyAI,Senior Data Scientist - Computer Vision,"Halifax, Nova Scotia, Canada",Mid-Senior level,False,True,False,False,False,False,True
ECAD Labs Inc,Software Developer in Test,"Vancouver, British Columbia, Canada",Mid-Senior level,False,False,False,False,False,False,False
Grammarly,Senior Data Scientist,"Vancouver, British Columbia, Canada",Mid-Senior level,True,True,False,True,False,False,False
Epsilon Solutions Ltd.,Python Developer,"Toronto, Ontario, Canada",Entry level,True,True,False,True,False,False,False
TechInsights,Software Developer,"Ottawa, Ontario, Canada",Mid-Senior level,True,True,False,False,False,False,False
Emonics LLC,Python Developer,"Toronto, Ontario, Canada",Entry level,True,True,False,True,False,False,False
FutureFit AI,Senior Data Scientist,"Toronto, Ontario, Canada",Mid-Senior level,True,True,False,False,False,False,True
Peak Power Inc,Senior Python Engineer,"Toronto, Ontario, Canada",Mid-Senior level,True,True,False,True,False,False,False
